instrument,auction_date,settlement_date,leg,term_bucket,isin,amount_chf_mn,signed_chf_mn
Conf. Bonds,2010-11-10,2011-01-05,opening,16yr,CH0031835561,625.5,625.5
Conf. Bonds,2010-12-08,2011-01-05,opening,10yr,CH0111999816,729.1,729.1
Conf. Bonds,2011-01-12,2011-01-26,opening,9yr,CH0021908907,431.51,431.51
Conf. Bonds,2011-02-10,2011-02-23,opening,10yr,CH0111999816,334.9,334.9
Conf. Bonds,2011-02-10,2011-02-23,opening,22yr,CH0015803239,427.64,427.64
Conf. Bonds,2011-03-09,2011-03-23,opening,25yr,CH0024524966,465.63,465.63
Conf. Bonds,2011-04-13,2011-04-28,opening,10yr,CH0111999816,313.7,313.7
Conf. Bonds,2011-05-11,2011-05-25,opening,11yr,-,530.625,530.625
Conf. Bonds,2011-06-08,2011-06-22,opening,20yr,-,477.535,477.535
Conf. Bonds,2011-07-13,2011-07-27,opening,10yr,CH0127181011,434.37,434.37
Conf. Bonds,2011-09-14,2011-09-28,opening,10yr,CH0127181011,210.4,210.4
Conf. Bonds,2011-09-14,2011-09-28,opening,37yr,CH0009755197,106.57,106.57
Conf. Bonds,2011-10-12,2011-10-26,opening,19yr,CH0127181029,165.93,165.93
Conf. Bonds,2011-11-09,2012-01-05,opening,15yr,CH0031835561,240.45,240.45
Conf. Bonds,2011-12-14,2012-01-05,opening,10yr,CH0127181011,392.842,392.842
Conf. Bonds,2011-12-14,2012-01-05,opening,19yr,CH0127181029,244.65,244.65
GMBF,2012-01-03,2012-01-05,opening,91d,CH0036179478,725.55,725.55
GMBF,2012-01-10,2012-01-12,opening,364d,CH0036179486,512.75,512.75
GMBF,2012-01-17,2012-01-19,opening,91d,CH0036179494,561.7,561.7
Conf. Bonds,2012-01-11,2012-01-25,opening,15yr,CH0031835561,150.0,150.0
GMBF,2012-01-24,2012-01-26,opening,91d,CH0036179502,1004.65,1004.65
GMBF,2012-01-31,2012-02-02,opening,91d,CH0036179510,1160.9,1160.9
GMBF,2012-02-07,2012-02-09,opening,91d,CH0036179528,1414.15,1414.15
GMBF,2012-02-14,2012-02-16,opening,91d,CH0036179536,1142.8,1142.8
Conf. Bonds,2012-02-08,2012-02-22,opening,10yr,CH0127181011,671.3,671.3
Conf. Bonds,2012-02-08,2012-02-22,opening,19yr,CH0127181029,430.25,430.25
GMBF,2012-02-21,2012-02-23,opening,182d,CH0036179544,2512.0,2512.0
GMBF,2012-02-28,2012-03-01,opening,91d,CH0036179551,803.05,803.05
GMBF,2012-03-06,2012-03-08,opening,91d,CH0036179569,837.1,837.1
GMBF,2012-03-13,2012-03-15,opening,91d,CH0036179577,953.95,953.95
GMBF,2012-12-18,2012-03-21,closing,91d,CH0036179973,1047.7,-1047.7
GMBF,2012-03-20,2012-03-22,opening,91d,CH0036179585,791.35,791.35
Conf. Bonds,2012-03-14,2012-03-28,opening,8yr,CH0021908907,634.5,634.5
Conf. Bonds,2012-03-14,2012-03-28,opening,23yr,CH0024524966,299.485,299.485
GMBF,2012-12-24,2012-03-28,closing,91d,CH0036179981,1000.8,-1000.8
GMBF,2012-03-27,2012-03-29,opening,91d,CH0036179593,1135.9,1135.9
GMBF,2012-01-03,2012-04-05,closing,91d,CH0036179478,725.55,-725.55
GMBF,2012-04-03,2012-04-05,opening,91d,CH0036179601,521.15,521.15
GMBF,2012-04-10,2012-04-12,opening,182d,CH0036179619,710.2,710.2
GMBF,2012-01-17,2012-04-19,closing,91d,CH0036179494,561.7,-561.7
GMBF,2012-04-17,2012-04-19,opening,91d,CH0036179627,699.55,699.55
GMBF,2012-01-24,2012-04-26,closing,91d,CH0036179502,1004.65,-1004.65
GMBF,2012-04-24,2012-04-26,opening,91d,CH0036179635,922.5,922.5
Conf. Bonds,2012-04-11,2012-04-30,opening,9yr,CH0111999816,177.38,177.38
Conf. Bonds,2012-04-11,2012-04-30,opening,30yr,-,872.305,872.305
GMBF,2012-01-31,2012-05-03,closing,91d,CH0036179510,1160.9,-1160.9
GMBF,2012-04-30,2012-05-03,opening,91d,CH0036179643,788.35,788.35
GMBF,2012-02-07,2012-05-10,closing,91d,CH0036179528,1414.15,-1414.15
GMBF,2012-05-08,2012-05-10,opening,91d,CH0036179650,1043.9,1043.9
GMBF,2012-02-14,2012-05-18,closing,91d,CH0036179536,1142.8,-1142.8
GMBF,2012-05-15,2012-05-18,opening,91d,CH0036179668,1344.9,1344.9
GMBF,2012-05-22,2012-05-24,opening,182d,CH0036179676,732.7,732.7
GMBF,2012-02-28,2012-05-31,closing,91d,CH0036179551,803.05,-803.05
GMBF,2012-05-29,2012-05-31,opening,91d,CH0036179684,688.8,688.8
GMBF,2012-03-06,2012-06-07,closing,91d,CH0036179569,837.1,-837.1
GMBF,2012-06-05,2012-06-07,opening,91d,CH0036179692,755.6,755.6
Conf. Bonds,2012-05-09,2012-06-11,opening,12yr,-,216.39,216.39
